Name,Country,Latitude,Longitude
Statue of Zeus at Olympia,Greece,37.63819915960268,21.63011753949122
Temple of Artemis at Ephesus,Turkey,37.94967735447476,27.363909843917902
Mausoleum at Halicarnassus,Turkey,37.03803297044549,27.424116399008735
Colossus of Rhodes,Turkey,36.45107354911518,28.2257819413324
Hanging Gardens of Babylon,Iraq,36.57693767402696,41.869210073371086
Great Pyramid of Giza,Egypt,29.97942034949402,31.134244814303447
Lighthouse of Alexandria,Egypt,31.214081589823174,29.8855234134948
